729888,3,2,1705,6568,1970,2,Garage,729888,715000
699888,4,2.5,1655,4835,1988,2,Garage,699888,744000
588000,4,2,1818,8463,1972,2,Garage,588000,600000
575000,4,2,1693,5634,1985,2,Garage,575000,628000
459900,4,2.5,1871,5415,1976,2,Garage,459900,515000
684000,3,2.5,1686,4503,1990,2,Garage,684000,697000
685000,3,2.5,1686,4553,1990,2,Garage,685000,711000
649950,4,2.5,1717,4500,1985,2,Garage,649950,680000
688886,3,2,1727,11966,1978,2,Garage,688886,750000
664000,4,2.5,1871,5601,1976,2,Garage,664000,750000
699800,4,2,1707,6201,1984,2,Garage,699800,750000
595888,3,2,1629,5414,1971,2,Garage,595888,598888
850000,4,3,1750,5244,1986,2,Garage,888000,830000
549000,4,2,1710,6579,1971,2,Garage,549000,580000
628888,4,2,1532,4511,1986,2,Garage,628888,638000
399900,3,2,1579,5891,1974,2,Garage,399900,415000
