SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
Past Sale,Single Family Residential,4431 NOROCCO Cir,Fremont,CA,94555,569888,4,2.0,Ardenwood,,4500,1980,2,Garage,,Sold,,,,,569888,2012-09-20,557000.0,http://www.redfin.com/CA/Fremont/4431-Norocco-Cir-94555/home/1921804,East Bay Regional Data (EBRD),40583471,Coldwell Banker,N,Y,37.574513,-122.04855,false
Past Sale,Single Family Residential,4559 RODERIGO Ct,Fremont,CA,94555,638000,4,2.0,Ardenwood,1498,6000,1980,2,Garage,,Sold,,,,,638000,2012-08-21,664300.0,http://www.redfin.com/CA/Fremont/4559-Roderigo-Ct-94555/home/1840020,East Bay Regional Data (EBRD),40581283,BayOne Real Estate Inv Corp,N,Y,37.573932,-122.051614,false
Past Sale,Single Family Residential,4525 RODERIGO Ct,Fremont,CA,94555,649800,3,2.0,Ardenwood,1645,6000,1980,2,Garage,,Sold,,,,,649800,2012-10-23,668000.0,http://www.redfin.com/CA/Fremont/4525-Roderigo-Ct-94555/home/17184845,East Bay Regional Data (EBRD),40588313,BayOne Real Estate Inv Corp,N,Y,37.574064,-122.051016,false
Past Sale,Single Family Residential,34259 SIWARD Dr,Fremont,CA,94555,838000,4,2.5,Ardenwood,1717,5135,1986,2,Garage,,Sold,,,,,838000,2014-07-23,885000.0,http://www.redfin.com/CA/Fremont/34259-Siward-Dr-94555/home/1830447,East Bay Regional Data (EBRD),40661606,BayOne Real Estate Inv Corp,N,Y,37.569896,-122.048524,false
Past Sale,Single Family Residential,4608 CELIA Ct,Fremont,CA,94555,928000,4,2.5,Fremont,1717,4857,1986,2,Garage,,Sold,,,,,928000,2014-11-13,985000.0,http://www.redfin.com/CA/Fremont/4608-Celia-Ct-94555/home/1059104,MLSListings Inc. (MLSLI),ML81439530,Campi Properties,N,Y,37.570884,-122.050101,false
Past Sale,Single Family Residential,34263 CORNWALLIS Pl,Fremont,CA,94555,738888,4,2.0,Northgate Gar.,1876,6656,1968,2,Garage,,Sold,,,,,738888,2013-03-22,811000.0,http://www.redfin.com/CA/Fremont/34263-Cornwallis-Pl-94555/home/1691613,East Bay Regional Data (EBRD),40603702,BayOne Real Estate Inv Corp,N,Y,37.577907,-122.037787,false
Past Sale,Single Family Residential,4374 Calypso Ter,Fremont,CA,94555,699988,4,2.5,Kensington,1988,5282,1991,2,Garage,,Sold,,,,,699988,2013-06-04,740000.0,http://www.redfin.com/CA/Fremont/4374-Calypso-Ter-94555/home/1127759,East Bay Regional Data (EBRD),40611224,Asante Real Estate- Mountain View,N,Y,37.565737,-122.038275,false
Past Sale,Single Family Residential,4350 Calypso Ter,Fremont,CA,94555,699000,4,2.5,Kensington,1826,4532,1990,2,Garage,,Sold,,,,,699000,2013-07-20,723000.0,http://www.redfin.com/CA/Fremont/4350-Calypso-Ter-94555/home/1987445,East Bay Regional Data (EBRD),40617425,Asante Real Estate- Mountain View,N,Y,37.566245,-122.03707,false
Past Sale,Single Family Residential,4309 CALYPSO Ter,Fremont,CA,94555,538000,3,2.5,Kensington Park,1811,4196,1994,2,Garage,,Sold,,,,,538000,2012-07-27,588000.0,http://www.redfin.com/CA/Fremont/4309-Calypso-Ter-94555/home/1127819,East Bay Regional Data (EBRD),40578224,Legacy Real Estate & Associates,N,Y,37.567418,-122.036526,false
Past Sale,Single Family Residential,34714 Powder River Pl,Fremont,CA,94555,630000,3,2.0,Northgate,1709,7747,1973,2,Garage,,Sold,,,,2013-09-17,659000,2013-10-31,630000.0,http://www.redfin.com/CA/Fremont/34714-Powder-River-Pl-94555/home/1536045,East Bay Regional Data (EBRD),40623749,Coldwell Banker-Los Gatos,N,Y,37.57149,-122.036189,false
